SAMPLE	BPD_BIP_2024.EUR_pgs_a0.5_b5e-08	MDD_MDD_2025_pgs_a0.5_b2e-08	SCZD_SCZ_2022.EUR_pgs_a0.5_b2e-07	PRSice_BPD_Pt_5e-08	PRSice_BPD_Pt_1e-06	PRSice_BPD_Pt_0.0001	PRSice_BPD_Pt_0.001	PRSice_BPD_Pt_0.01	PRSice_BPD_Pt_0.05	PRSice_BPD_Pt_0.1	PRSice_BPD_Pt_0.5	PRSice_BPD_Pt_1	PRSice_MDD_Pt_5e-08	PRSice_MDD_Pt_1e-06	PRSice_MDD_Pt_0.0001	PRSice_MDD_Pt_0.001	PRSice_MDD_Pt_0.01	PRSice_MDD_Pt_0.05	PRSice_MDD_Pt_0.1	PRSice_MDD_Pt_0.5	PRSice_MDD_Pt_1	PRSice_SCZD_Pt_5e-08	PRSice_SCZD_Pt_1e-06	PRSice_SCZD_Pt_0.0001	PRSice_SCZD_Pt_0.001	PRSice_SCZD_Pt_0.01	PRSice_SCZD_Pt_0.05	PRSice_SCZD_Pt_0.1	PRSice_SCZD_Pt_0.5	PRSice_SCZD_Pt_1
Br1092	-0.520929	-0.224003	-1.54323	-0.0504170031	-0.498319477	2.85044457	2.44093822	-2.49961109	0.240999471	-3.14691602	-7.5489323	-5.22455057	0.144185187	-0.11669175	0.0162864737	1.04078037	0.298534189	-0.671696393	-0.948034595	-3.22704618	-2.91639049	-0.671954073	-1.0587771	-2.61356399	-2.3635444	3.38613651	-4.11855837	-10.0297453	-9.99767362	-9.53345168
Br1113	-0.00877081	0.289368	-0.312729	0.254864003	-0.125233151	3.36708397	3.94645028	2.79079069	6.91634273	5.15752822	0.595135834	1.7165374	0.719220585	0.595328955	1.05278899	2.33954366	3.53141553	3.32689385	3.0901221	0.430015418	0.93645968	1.54591377	1.1129214	0.565410811	-1.41847053	-0.975991335	-3.41844888	-9.88007007	-9.3090439	-9.4330281
Br1204	-0.2621	-0.197909	-0.548932	-0.387484555	-1.55748556	1.71625154	2.6737991	-1.49457313	-0.824072836	0.0909325447	-0.849646306	-0.416601327	-0.610063673	-0.913520173	-0.424965667	0.542627637	1.13128033	0.44921819	-0.173449513	-4.18704302	-4.13520884	0.473046964	0.16186193	-2.98706007	-3.10922121	-1.13558146	-5.31718392	-8.27270708	-9.23028054	-9.01591981
Br2371	-0.601451	-0.194445	-1.66755	0.0415059957	-0.752063795	0.710766876	2.0447959	-6.94878736	-7.08651508	-5.92909458	-9.83652224	-9.6604888	-0.260753804	-0.604667576	-0.747585875	0.416236138	0.0547793549	-0.375263485	-1.45579522	-4.73701986	-4.65312643	-0.455494112	-1.21847127	-3.97608834	-6.52029121	-10.3899402	-14.1424919	-21.812309	-22.6342813	-23.1539588
Br2701	-1.03951	-0.500286	-2.58989	-1.19247821	-2.3596827	-1.51394921	-2.47327828	-10.7526562	-12.5841022	-14.6485472	-21.8058241	-20.6796752	-1.03332493	-1.28697468	-1.33883943	-0.599470825	-3.06836816	-4.59109364	-4.8178563	-8.73500626	-8.44178821	-5.04118589	-6.32467003	-9.71923918	-11.7440527	-10.9273463	-18.59725	-25.2459387	-29.9568122	-29.9214541
Br2720	-0.643741	-0.281725	-1.24466	-0.608514166	-0.431463736	2.01227362	1.17687799	-2.06960812	-3.80500084	-3.75501065	-12.0653028	-11.7496302	-0.0706261396	-0.0599719624	0.290539928	1.19085557	0.155213043	-1.02282047	-3.02973374	-8.51260046	-8.47847128	-0.995666538	-0.688386102	-0.345533075	-1.74749358	-2.59493575	-11.2932527	-17.032461	-20.7973262	-20.1707877
Br2726	-0.0461434	-0.198211	-0.987201	0.683579395	-0.2455927	3.13642779	3.29624974	-2.94741218	-4.09313969	-4.99247074	-11.2836042	-10.0323235	0.104479055	0.19835327	0.845257002	1.20456959	0.0717747632	-1.574566	-2.84725358	-6.85649415	-6.36190404	0.290831134	-0.189829194	-3.52485347	-5.52000763	-5.9938528	-7.25743223	-13.9314	-16.0562436	-16.592116
Br2761	-0.368638	-0.285401	-1.16458	0.00853051098	-0.457963132	1.64891312	0.950350978	-2.0709928	-4.57254965	-1.76366549	-6.84650635	-6.79499422	0.242291885	-0.243554025	-0.182449882	1.47824816	0.247395419	-1.71937711	-4.21366805	-9.64538628	-9.74698732	1.36059243	0.873085213	-1.28993012	-3.30847276	-3.19017436	-9.13245089	-13.934344	-22.175398	-21.7346268
Br2765	-0.975985	-0.233154	-1.6235	-0.515111449	-1.29881093	1.21776814	1.93381988	-3.28731009	-7.74306278	-8.79693144	-16.6059969	-15.4921873	-0.500958855	-1.09070757	-0.378484873	2.50337674	1.16720602	-0.819121765	-2.03306611	-5.86933405	-5.7656931	0.441973382	-0.0260067753	-2.74710149	-3.6836703	-4.96679469	-10.393557	-20.0290021	-18.5186873	-17.2375176
Br3881	-0.835072	-0.184151	-1.3465	-0.469551145	-0.844519256	1.80055867	0.752300835	-3.43811898	-6.76933663	-9.19567463	-18.6824861	-17.4062853	-0.158728283	-0.37189164	-0.0215327251	0.400471686	-1.66772713	-3.45152342	-4.12178904	-7.08700379	-6.94626615	-0.27106031	-1.2068271	-2.80555601	-1.75984836	-2.45446396	-5.01821693	-11.3641434	-13.5434092	-13.2497924
